Plaza ID,Date,Hour,Direction,# Vehicles - E-ZPass,# Vehicles - VToll
5,2017-04-20,5,I,111,11
5,2017-04-20,5,O,354,21
5,2017-04-20,6,I,319,37
5,2017-04-20,6,O,927,29
5,2017-04-20,7,I,410,43
5,2017-04-20,7,O,1499,81
5,2017-04-20,8,I,389,52
5,2017-04-20,8,O,1045,62
5,2017-04-20,9,I,337,35
5,2017-04-20,9,O,738,53
5,2017-04-20,10,I,365,40
5,2017-04-20,10,O,555,45
5,2017-04-20,11,I,339,28
5,2017-04-20,11,O,501,40
5,2017-04-20,12,I,385,39
5,2017-04-20,12,O,459,46
5,2017-04-20,13,I,443,42
5,2017-04-20,13,O,475,35
5,2017-04-20,14,I,687,35
5,2017-04-20,14,O,544,56
5,2017-04-20,15,I,912,72
5,2017-04-20,15,O,616,46
5,2017-04-20,16,I,1068,71
5,2017-04-20,16,O,603,55
5,2017-04-20,17,I,1082,77
5,2017-04-20,17,O,539,66
5,2017-04-20,18,I,1040,67
5,2017-04-20,18,O,437,51
5,2017-04-20,19,I,739,51
5,2017-04-20,19,O,321,39
5,2017-04-20,20,I,486,38
5,2017-04-20,20,O,235,23
5,2017-04-20,21,I,433,38
5,2017-04-20,21,O,188,22
5,2017-04-20,22,I,12,0
5,2017-04-20,22,O,9,0
5,2017-04-20,23,I,0,0
5,2017-04-20,23,O,0,0
5,2017-04-19,0,I,0,0
5,2017-04-19,0,O,0,0
5,2017-04-19,1,I,0,0
5,2017-04-19,1,O,2,0
5,2017-04-19,2,I,0,0
5,2017-04-19,2,O,1,0
5,2017-04-19,3,I,0,0
5,2017-04-19,3,O,2,0
5,2017-04-19,4,I,0,0
5,2017-04-19,4,O,8,0
5,2017-04-19,5,I,127,13
5,2017-04-19,5,O,356,20
5,2017-04-19,6,I,338,33
5,2017-04-19,6,O,937,38
5,2017-04-19,7,I,425,49
5,2017-04-19,7,O,1451,77
5,2017-04-19,8,I,425,53
5,2017-04-19,8,O,927,56
5,2017-04-19,9,I,349,36
5,2017-04-19,9,O,648,44
5,2017-04-19,10,I,385,32
5,2017-04-19,10,O,528,45
5,2017-04-19,11,I,329,31
5,2017-04-19,11,O,486,34
5,2017-04-19,12,I,414,40
5,2017-04-19,12,O,434,32
5,2017-04-19,13,I,453,44
5,2017-04-19,13,O,470,40
5,2017-04-19,14,I,581,41
5,2017-04-19,14,O,462,56
5,2017-04-19,15,I,792,51
5,2017-04-19,15,O,572,65
5,2017-04-19,16,I,994,66
5,2017-04-19,16,O,538,51
5,2017-04-19,17,I,1087,67
5,2017-04-19,17,O,504,48
5,2017-04-19,18,I,1081,74
5,2017-04-19,18,O,393,43
5,2017-04-19,19,I,680,63
5,2017-04-19,19,O,268,36
5,2017-04-19,20,I,507,30
5,2017-04-19,20,O,215,32
5,2017-04-19,21,I,408,23
5,2017-04-19,21,O,183,30
5,2017-04-19,22,I,6,0
5,2017-04-19,22,O,4,0
5,2017-04-19,23,I,0,0
5,2017-04-19,23,O,0,0
5,2017-04-18,0,I,0,0
5,2017-04-18,0,O,7,0
5,2017-04-18,1,I,0,0
5,2017-04-18,1,O,2,0
5,2017-04-18,2,I,0,0
5,2017-04-18,2,O,1,0
5,2017-04-18,3,I,0,0
5,2017-04-18,3,O,0,0
5,2017-04-18,4,I,0,0
5,2017-04-18,4,O,0,0
5,2017-04-18,5,I,114,8
5,2017-04-18,5,O,340,18
5,2017-04-18,6,I,329,34
5,2017-04-18,6,O,675,24
5,2017-04-18,7,I,327,56
5,2017-04-18,7,O,818,45
5,2017-04-18,8,I,346,37
5,2017-04-18,8,O,761,43
5,2017-04-18,9,I,323,49
5,2017-04-18,9,O,591,29
5,2017-04-18,10,I,356,45
5,2017-04-18,10,O,480,42
5,2017-04-18,11,I,341,34
5,2017-04-18,11,O,464,39
5,2017-04-18,12,I,399,39
5,2017-04-18,12,O,473,50
5,2017-04-18,13,I,441,36
5,2017-04-18,13,O,454,42
5,2017-04-18,14,I,466,40
5,2017-04-18,14,O,483,61
5,2017-04-18,15,I,639,64
5,2017-04-18,15,O,552,62
5,2017-04-18,16,I,826,64
5,2017-04-18,16,O,467,58
5,2017-04-18,17,I,759,49
5,2017-04-18,17,O,409,62
5,2017-04-18,18,I,659,56
5,2017-04-18,18,O,307,49
5,2017-04-18,19,I,577,35
5,2017-04-18,19,O,262,39
5,2017-04-18,20,I,421,28
5,2017-04-18,20,O,209,38
5,2017-04-18,21,I,385,21
5,2017-04-18,21,O,217,28
5,2017-04-18,22,I,1,0
5,2017-04-18,22,O,18,3
5,2017-04-18,23,I,0,0
5,2017-04-18,23,O,2,0
5,2017-04-17,0,I,116,24
5,2017-04-17,0,O,50,14
5,2017-04-17,1,I,49,10
5,2017-04-17,1,O,20,14
5,2017-04-17,2,I,25,8
5,2017-04-17,2,O,16,7
5,2017-04-17,3,I,20,4
5,2017-04-17,3,O,18,9
5,2017-04-17,4,I,25,6
5,2017-04-17,4,O,69,0
5,2017-04-17,5,I,105,8
5,2017-04-17,5,O,276,14
5,2017-04-17,6,I,327,32
5,2017-04-17,6,O,658,32
5,2017-04-17,7,I,291,42
5,2017-04-17,7,O,766,54
5,2017-04-17,8,I,322,34
5,2017-04-17,8,O,651,45
5,2017-04-17,9,I,312,45
5,2017-04-17,9,O,509,36
5,2017-04-17,10,I,313,37
5,2017-04-17,10,O,494,40
5,2017-04-17,11,I,333,44
5,2017-04-17,11,O,501,30
5,2017-04-17,12,I,377,34
5,2017-04-17,12,O,457,39
5,2017-04-17,13,I,433,33
5,2017-04-17,13,O,451,40
5,2017-04-17,14,I,480,44
5,2017-04-17,14,O,461,54
5,2017-04-17,15,I,664,61
5,2017-04-17,15,O,492,59
5,2017-04-17,16,I,756,55
5,2017-04-17,16,O,451,66
5,2017-04-17,17,I,719,80
5,2017-04-17,17,O,408,45
5,2017-04-17,18,I,681,50
5,2017-04-17,18,O,365,46
5,2017-04-17,19,I,505,44
5,2017-04-17,19,O,284,46
5,2017-04-17,20,I,389,39
